,category,address,price,image_link,pincode,city,street,Type,nbr_rooms,serial,area
52,"Maison 6 pièces 290 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),1355000,https://file.bienici.com/photo/hektor-agveroniquefont-3183_agveroniquefont.staticlbi.com_original_images_biens_1_7f01c939761597f9b832694d4c381512_ef0105031d39a10a637e500bea7beefc.jpg?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Maison,6,53,290.0
34,"Maison 10 pièces 280 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),1290000,https://file.bienici.com/photo/hektor-agveroniquefont-1596_agveroniquefont.staticlbi.com_original_images_biens_1_a368b0de8b91cfb3f91892fbf1ebd4b2_56b8b12117f04622247fdb4c55fb6b07.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Maison,10,35,280.0
62,"Maison 7 pièces 242 m²
Croix 59170 (Centre-ville)",Croix 59170 (Centre-ville),1050000,https://file.bienici.com/photo/hektor-agveroniquefont-1018_agveroniquefont.staticlbi.com_original_images_biens_1_24146db4eb48c718b84cae0a0799dcfc_cb86702143a2e657da06b09191c6f497.jpg?width=300&height=180&fit=cover,59170,Croix,Centre-ville,Maison,7,63,242.0
68,"Maison 8 pièces 240 m²
Croix 59170",Croix 59170,1040000,https://file.bienici.com/photo/hektor-agveroniquefont-2769_agveroniquefont.staticlbi.com_original_images_biens_1_d47844673f2db74d78da8687d794523d_5c5bac4caef5eecb67347c2deb20ad64.jpg?width=300&height=180&fit=cover,59170,Croix,,Maison,8,69,240.0
2,"Maison 10 pièces 323 m²
Croix 59170 (Centre-ville)",Croix 59170 (Centre-ville),694790,https://file.bienici.com/photo/orpi-1-120001E1EHML_media6.ac3-distribution.com_office6_orpi_73336_catalog_images_pr_p_6_0_9_2_0_6_5_6092065a.jpg_DATEMAJ_201911151644?width=300&height=180&fit=cover,59170,Croix,Centre-ville,Maison,10,3,323.0
20,"Maison 10 pièces 350 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),660000,https://file.bienici.com/photo/fnaim-44414715_images-raw.fnaim.fr_images1_img96_2969600VN1684T01.jpg?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,10,21,350.0
49,"Appartement 5 pièces 146 m²
Wasquehal 59290",Wasquehal 59290,649000,https://file.bienici.com/photo/ag593804-216440889_photos.ubiflow.net_593804_216440889_photos_1.jpg_20191014194207?width=300&height=180&fit=cover,59290,Wasquehal,,Appartement,5,50,146.0
47,"Maison 5 pièces 200 m²
Wasquehal 59290",Wasquehal 59290,590000,https://file.bienici.com/photo/ag593804-219876426_photos.ubiflow.net_593804_219876426_photos_1.jpg_20191014194417?width=300&height=180&fit=cover,59290,Wasquehal,,Maison,5,48,200.0
42,"Maison 5 pièces 170 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),510000,https://file.bienici.com/photo/hektor-agveroniquefont-3807_agveroniquefont.staticlbi.com_original_images_biens_1_572de2f72d5731ff8a6744d12368d260_photo_8c9ca674d1f61fa5839b798bf9d85db6.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Maison,5,43,170.0
24,"Appartement 4 pièces 117 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),479000,https://file.bienici.com/photo/century-21-202_3283_894_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_894_1_5579DDD1-1F2D-44B1-A69C-0D187D14464F.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Appartement,4,25,117.0
26,"Appartement 4 pièces 117 m²
Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal)",Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal),479000,https://file.bienici.com/photo/ag340378-229347814_photos.ubiflow.net_340378_229347814_photos_1.jpg_20191210031913?width=300&height=180&fit=cover,59290,Wasquehal,Boers - Haut Vinage - Orée du Golf - Petit Wasquehal,Appartement,4,27,117.0
58,"Maison 6 pièces 155 m²
Croix 59170",Croix 59170,475000,https://file.bienici.com/photo/ag593804-221245957_photos.ubiflow.net_593804_221245957_photos_1.jpg_20191016141151?width=300&height=180&fit=cover,59170,Croix,,Maison,6,59,155.0
54,"Maison 5 pièces 120 m²
Wasquehal 59290",Wasquehal 59290,385000,https://file.bienici.com/photo/ag593804-227027287_photos.ubiflow.net_593804_227027287_photos_1.jpg_20191123172421?width=300&height=180&fit=cover,59290,Wasquehal,,Maison,5,55,120.0
7,"Appartement 4 pièces 84 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),360000,https://file.bienici.com/photo/century-21-202_3283_971_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_971_1_C4D0F34C-C2FB-43A8-8375-8EA60B714C48.jpg?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,4,8,84.0
46,"Maison 5 pièces 135 m²
Croix 59170",Croix 59170,330000,https://file.bienici.com/photo/ag593804-220546338_photos.ubiflow.net_593804_220546338_photos_1.jpg_20191014194259?width=300&height=180&fit=cover,59170,Croix,,Maison,5,47,135.0
27,"Appartement 5 pièces 110 m²
Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal)",Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal),298000,https://file.bienici.com/photo/ag592469-221710204_photos.ubiflow.net_592469_221710204_photos_1.jpg_20191019041339?width=300&height=180&fit=cover,59290,Wasquehal,Boers - Haut Vinage - Orée du Golf - Petit Wasquehal,Appartement,5,28,110.0
48,"Appartement 3 pièces 78 m²
Wasquehal 59290 (Capreau)",Wasquehal 59290 (Capreau),288000,https://file.bienici.com/photo/ag591569-217021893_photos.ubiflow.net_591569_217021893_photos_1.jpg_20190918124446?width=300&height=180&fit=cover,59290,Wasquehal,Capreau,Appartement,3,49,78.0
21,"Appartement 3 pièces 67 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),276900,https://file.bienici.com/photo/century-21-202_3283_944_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_944_1_CEF25ABC-A27E-4488-A453-35D74124780A.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Appartement,3,22,67.0
15,"Appartement 4 pièces 84 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),266500,https://file.bienici.com/photo/orpi-1-120037E19FML_media6.ac3-distribution.com_office6_orpi_73142_catalog_images_pr_p_5_6_5_5_8_3_3_5655833a.jpg_DATEMAJ_201902121541?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,4,16,84.0
30,"Appartement 3 pièces 68 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),262900,https://file.bienici.com/photo/century-21-202_3283_891_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_891_1_8B28FC8D-0C79-4592-9D73-503EAB5D9284.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,3,31,68.0
29,"Appartement 3 pièces 64 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),258900,https://file.bienici.com/photo/century-21-202_3283_892_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_892_1_73486669-E31A-4DFF-95A7-3C9739DFE1A6.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,3,30,64.0
57,"Maison 3 pièces 90 m²
Wasquehal 59290",Wasquehal 59290,250000,https://file.bienici.com/photo/ag593804-221609191_photos.ubiflow.net_593804_221609191_photos_1.jpg_20191018132830?width=300&height=180&fit=cover,59290,Wasquehal,,Maison,3,58,90.0
1,"Maison 5 pièces 75 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),242500,https://file.bienici.com/photo/orpi-1-120003E1GTND_media6.ac3-distribution.com_office6_orpi_73453_catalog_images_pr_p_6_2_2_6_0_5_7_6226057a.jpg_DATEMAJ_201911041600?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Maison,5,2,75.0
63,"Maison 4 pièces 100 m²
Wasquehal 59290",Wasquehal 59290,240000,https://file.bienici.com/photo/ag591008-228608418_photos.ubiflow.net_591008_228608418_photos_1.jpg_20191204164026?width=300&height=180&fit=cover,59290,Wasquehal,,Maison,4,64,100.0
43,"Maison 4 pièces
Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal)",Wasquehal 59290 (Boers - Haut Vinage - Orée du Golf - Petit Wasquehal),240000,https://file.bienici.com/photo/ag591008-230764911_photos.ubiflow.net_591008_230764911_photos_1.jpg_20191219185249?width=300&height=180&fit=cover,59290,Wasquehal,Boers - Haut Vinage - Orée du Golf - Petit Wasquehal,Maison,4,44,
39,"Appartement 3 pièces 60 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),231000,https://file.bienici.com/photo/ag440414-208485234_photos.ubiflow.net_440414_208485234_photos_1.jpg_20190718153413?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,3,40,60.0
61,"Appartement 3 pièces 77 m²
Croix 59170",Croix 59170,215000,https://file.bienici.com/photo/ag593804-217576866_photos.ubiflow.net_593804_217576866_photos_1.jpg_20191014194201?width=300&height=180&fit=cover,59170,Croix,,Appartement,3,62,77.0
44,"Maison 3 pièces 105 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),207750,https://file.bienici.com/photo/orpi-1-120908E1FW7T_media6.ac3-distribution.com_office6_orpi_73336_catalog_images_pr_p_6_1_7_4_7_7_2_6174772a.jpg_DATEMAJ_201909241119?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,3,45,105.0
16,"Appartement 3 pièces 66 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),200000,https://file.bienici.com/photo/pericles-22959888_a?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,3,17,66.0
55,"Appartement 4 pièces 96 m²
Croix 59170",Croix 59170,196000,https://file.bienici.com/photo/apimo-3428226_d1qfj231ug7wdu.cloudfront.net_pictures_estate_3429_3428226_2196580795dd80ae9006025.69620465_1920.jpg?width=300&height=180&fit=cover,59170,Croix,,Appartement,4,56,96.0
18,"Maison 3 pièces 105 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),185755,https://file.bienici.com/photo/ag440414-226888141_photos.ubiflow.net_440414_226888141_photos_1.jpg_20191122193043?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,3,19,105.0
10,"Appartement 3 pièces 62 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),183600,https://file.bienici.com/photo/pericles-26650268_a?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,3,11,62.0
23,"Appartement 3 pièces 98 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),180000,https://file.bienici.com/photo/pericles-27541440_a?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,3,24,98.0
33,"Maison 4 pièces 100 m²
Wasquehal 59290 (Capreau)",Wasquehal 59290 (Capreau),179760,https://file.bienici.com/photo/orpi-1-120037E1CQC3_media6.ac3-distribution.com_office6_orpi_73142_catalog_images_pr_p_5_8_6_9_6_7_2_5869672a.jpg_DATEMAJ_201909101731?width=300&height=180&fit=cover,59290,Wasquehal,Capreau,Maison,4,34,100.0
59,"Appartement 2 pièces 42 m²
Croix 59170",Croix 59170,179000,https://file.bienici.com/photo/ag593804-218962977_photos.ubiflow.net_593804_218962977_photos_1.jpg_20191014194217?width=300&height=180&fit=cover,59170,Croix,,Appartement,2,60,42.0
51,"Maison 4 pièces 90 m²
Wasquehal 59290 (Capreau)",Wasquehal 59290 (Capreau),175000,https://file.bienici.com/photo/ag591569-197980825_photos.ubiflow.net_591569_197980825_photos_1.jpg_20190521112412?width=300&height=180&fit=cover,59290,Wasquehal,Capreau,Maison,4,52,90.0
64,"Appartement 2 pièces 62 m²
Croix 59170",Croix 59170,170000,https://file.bienici.com/photo/ag593804-223131715_photos.ubiflow.net_593804_223131715_photos_1.jpg_20191029174024?width=300&height=180&fit=cover,59170,Croix,,Appartement,2,65,62.0
6,"Appartement 2 pièces 41 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),170000,https://file.bienici.com/photo/century-21-202_3283_972_core.naxos-fr.net_imagesBien_202_3283_c21_202_3283_972_1_2A939C23-D4EF-4FDD-984E-EB40A9F494B6.jpg?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,7,41.0
37,"Maison 4 pièces 90 m²
Wasquehal 59290 (Capreau)",Wasquehal 59290 (Capreau),169000,https://file.bienici.com/photo/orpi-1-120037E1HI1E_media6.ac3-distribution.com_office6_orpi_73142_catalog_images_pr_p_6_2_7_1_1_0_1_6271101a.jpg_DATEMAJ_201911131029?width=300&height=180&fit=cover,59290,Wasquehal,Capreau,Maison,4,38,90.0
67,"Maison 3 pièces 65 m²
Wasquehal 59290",Wasquehal 59290,168000,https://file.bienici.com/photo/ag593804-216810150_photos.ubiflow.net_593804_216810150_photos_1.jpg_20191014194245?width=300&height=180&fit=cover,59290,Wasquehal,,Maison,3,68,65.0
38,"Appartement 2 pièces 45 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),154145,https://file.bienici.com/photo/orpi-1-120037E1HFQI_media6.ac3-distribution.com_office6_orpi_73142_catalog_images_pr_p_6_2_6_7_4_8_1_6267481a.jpg_DATEMAJ_201911121402?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,2,39,45.0
45,"Appartement 2 pièces 40 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),153900,https://file.bienici.com/photo/immo-facile-34136641_media.immo-facile.com_office2_exactimmo_catalog_images_pr_p_3_4_1_3_6_6_4_1_34136641a.jpg_DATEMAJ_22_10_2019-09_20_16?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,2,46,40.0
56,"Appartement 2 pièces 40 m²
Wasquehal 59290",Wasquehal 59290,148500,https://file.bienici.com/photo/ag593804-222595345_photos.ubiflow.net_593804_222595345_photos_1.jpg_20191025132130?width=300&height=180&fit=cover,59290,Wasquehal,,Appartement,2,57,40.0
5,"Maison 6 pièces 98 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),148500,https://file.bienici.com/photo/ag440414-227220979_photos.ubiflow.net_440414_227220979_photos_1.jpg_20191125152213?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,6,6,98.0
31,"Maison 5 pièces 99 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),147900,https://file.bienici.com/photo/orpi-1-120901E1ER80_media6.ac3-distribution.com_office6_orpi_73336_catalog_images_pr_p_6_1_0_7_7_5_0_6107750a.jpg_DATEMAJ_201909271444?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,5,32,99.0
66,"Maison 6 pièces 100 m²
Croix 59170",Croix 59170,146500,https://file.bienici.com/photo/ag593804-220546365_photos.ubiflow.net_593804_220546365_photos_1.jpg_20191016213637?width=300&height=180&fit=cover,59170,Croix,,Maison,6,67,100.0
53,"Appartement 4 pièces 85 m²
Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas)",Wasquehal 59290 (Centre-ville - Pharos - Site Saint-Nicolas),145600,https://file.bienici.com/photo/ag591008-210492347_photos.ubiflow.net_591008_210492347_photos_1.jpg_20190801120625?width=300&height=180&fit=cover,59290,Wasquehal,Centre-ville - Pharos - Site Saint-Nicolas,Appartement,4,54,85.0
40,"Appartement 2 pièces 41 m²
Wasquehal 59290 (Grand Cottignies)",Wasquehal 59290 (Grand Cottignies),140000,https://file.bienici.com/photo/pericles-25803012_a?width=300&height=180&fit=cover,59290,Wasquehal,Grand Cottignies,Appartement,2,41,41.0
65,"Maison 5 pièces 85 m²
Croix 59170",Croix 59170,138500,https://file.bienici.com/photo/ag593804-221609209_photos.ubiflow.net_593804_221609209_photos_1.jpg_20191018132833?width=300&height=180&fit=cover,59170,Croix,,Maison,5,66,85.0
60,"Appartement 2 pièces 53 m²
Croix 59170",Croix 59170,137000,https://file.bienici.com/photo/ag593804-218748273_photos.ubiflow.net_593804_218748273_photos_1.jpg_20191118214004?width=300&height=180&fit=cover,59170,Croix,,Appartement,2,61,53.0
28,"Maison 4 pièces 85 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),135990,https://file.bienici.com/photo/ag440414-221659210_photos.ubiflow.net_440414_221659210_photos_1.jpg_20191018190414?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,4,29,85.0
22,"Maison 4 pièces 80 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),135000,https://file.bienici.com/photo/pericles-27660414_a?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Maison,4,23,80.0
9,"Appartement 2 pièces 63 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),125000,https://file.bienici.com/photo/pericles-27875328_a?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,2,10,63.0
14,"Appartement 2 pièces 45 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),118000,https://file.bienici.com/photo/immo-facile-32614038_media.immo-facile.com_office16_immodefrance_npdc_catalog_images_pr_p_3_2_6_1_4_0_3_8_32614038a.jpg_DATEMAJ_25_06_2019-17_26_45?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,15,45.0
8,"Appartement 2 pièces 54 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),115990,https://file.bienici.com/photo/ag440414-225507691_photos.ubiflow.net_440414_225507691_photos_1.jpg_20191114185847?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,9,54.0
13,"Appartement 3 pièces 90 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),115000,https://file.bienici.com/photo/ag440414-212765508_photos.ubiflow.net_440414_212765508_photos_1.jpg_20191126145042?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,3,14,90.0
3,"Appartement 2 pièces
Wasquehal 59290 (Noir Bonnet - Rue Pasteur)",Wasquehal 59290 (Noir Bonnet - Rue Pasteur),114500,https://file.bienici.com/photo/citya-immobilier-1289-TAPP422525_cityabox-web.ics.infoclip.fr_icsbox_cit_CITYA_FLANDRES_jdd_transaction_photo_filigrane-2--3989774459365924394.jpg?width=300&height=180&fit=cover,59290,Wasquehal,Noir Bonnet - Rue Pasteur,Appartement,2,4,
41,"Appartement 1 pièce 43 m²
Croix 59170 (Fer à Cheval)",Croix 59170 (Fer à Cheval),104000,https://file.bienici.com/photo/pericles-25038823_a?width=300&height=180&fit=cover,59170,Croix,Fer à Cheval,Appartement,1,42,43.0
4,"Appartement 2 pièces 53 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),99000,https://file.bienici.com/photo/ag592837-227283511_photos.ubiflow.net_592837_227283511_photos_1.jpg_20191129023826?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,2,5,53.0
0,"Appartement 3 pièces 95 m²
Croix 59170 (Saint-Pierre)",Croix 59170 (Saint-Pierre),96505,https://file.bienici.com/photo/ag752451-209382087_photos.ubiflow.net_752451_209382087_photos_1.jpg_20191213204035?width=300&height=180&fit=cover,59170,Croix,Saint-Pierre,Appartement,3,1,95.0
17,"Appartement 1 pièce 42 m²
Croix 59170 (Centre-ville)",Croix 59170 (Centre-ville),80000,https://file.bienici.com/photo/ag594019-228452107_photos.ubiflow.net_594019_228452107_photos_1.jpg_20191207094215?width=300&height=180&fit=cover,59170,Croix,Centre-ville,Appartement,1,18,42.0
